Product Name,Quantity Sold,Unit Price,Date of Sale,Region,Total Sales
Will,90,27.32,2024-04-30,West,2458.8
At,70,42.63,2024-04-25,West,2984.1
Them,47,14.63,2024-11-11,North,687.61
Across,13,61.68,2024-12-17,West,801.84
Leg,74,34.41,2024-04-23,South,2546.34
Feel,11,66.09,2024-05-15,South,726.99
Ok,51,77.1,2024-06-17,West,3932.1
Whole,24,12.14,2024-07-12,South,291.36
Mother,24,21.18,2024-06-24,South,508.32
Specific,92,72.6,2024-02-28,North,6679.2
Including,90,84.48,2024-11-14,South,7603.2
Finish,12,97.02,2024-09-25,East,1164.24
Size,86,8.8,2024-03-02,West,756.8
Window,15,12.22,2024-12-08,West,183.3
Chance,4,85.11,2024-12-30,West,340.44
Show,4,9.61,2024-11-05,West,38.44
Rest,6,45.54,2024-03-19,West,273.24
Pressure,12,42.74,2024-10-26,West,512.88
End,3,80.15,2024-04-13,South,240.45
Director,11,14.62,2024-07-20,West,160.82
Effect,19,55.28,2024-07-19,South,1050.32
Some,30,10.51,2024-12-01,North,315.3
Government,51,70.43,2024-09-17,West,3591.93
Have,57,18.44,2024-09-24,East,1051.08
Top,10,81.37,2024-09-20,North,813.7
Cover,13,52.19,2024-11-05,West,678.47
Into,34,14.25,2024-06-28,North,484.5
Rest,29,62.92,2024-05-18,East,1824.68
Front,35,66.98,2024-05-04,East,2344.3
Country,21,73.56,2024-07-15,East,1544.76
Something,1,60.39,2024-12-25,South,60.39
World,81,68.71,2024-09-26,North,5565.51
Whatever,3,15.75,2024-12-04,North,47.25
Consider,56,10.92,2024-04-20,North,611.52
Just,31,28.05,2024-05-20,South,869.55
By,62,69.62,2024-09-03,South,4316.44
Natural,52,76.69,2024-07-20,East,3987.88
Than,68,27.6,2025-01-09,East,1876.8
Door,71,75.24,2024-10-14,East,5342.04
Effect,11,27.39,2024-10-22,East,301.29
Source,15,18.21,2024-05-21,South,273.15
Environmental,85,98.45,2024-07-07,North,8368.25
Nothing,24,28.19,2024-09-08,North,676.56
Hand,54,58.23,2025-01-20,West,3144.42
Against,1,53.14,2024-09-19,East,53.14
Good,62,38.6,2024-05-07,West,2393.2
Nor,2,37.39,2024-12-30,West,74.78
Religious,71,20.96,2024-03-23,East,1488.16
Main,24,87.85,2024-11-09,West,2108.4
Camera,76,40.78,2024-04-01,East,3099.28
Scientist,43,53.38,2024-03-17,East,2295.34
Newspaper,20,86.3,2024-03-03,North,1726.0
People,25,27.66,2024-04-02,North,691.5
Simply,14,8.79,2024-02-09,South,123.06
Teacher,78,85.81,2025-01-19,West,6693.18
Political,89,98.74,2024-10-30,East,8787.86
My,7,24.28,2024-01-30,North,169.96
